tract_number,total_population,over_65,median_income,housing_density,percent_vacant_units,Percent_white,Percent_Black,Percent_Native,Percent_Asian,Percent_Hawaiian_and_Pacific_Islander,Percent_Other_Race,percent_two_races,percent_hispanic,percent_not_hispanic
6067006802,1948,8.8,27313,2.07,14.77,54.3,8.1,0,5.6,0,30,2,46.1,53.9
6067006803,3693,2.1,57986,4.16,0,17.6,15.4,0,14.1,0,33.8,19.1,50.8,49.2
6067006901,1425,20.8,49420,1.71,1.8,70.4,4.4,0,0,0,14.2,10.9,30.3,69.7
6067006902,3511,10.3,19680,2.33,7.36,44.2,18.2,2.6,10.3,0,20.5,4.2,38.3,61.7
6067007001,4513,9,55197,3.09,5.54,32.1,7,5.5,10.8,0,32.7,11.9,64.9,35.1
6067007007,5933,13.6,75391,3.18,3.65,26.8,13.9,1.1,6.3,0.7,37,14.3,58.1,41.9
6067007010,4199,8.4,74132,1.78,5.72,45.5,17,0,19.1,3.9,4.5,10,13.9,86.1
6067007011,6873,7.8,58393,2.5,2.15,35.4,15,0.5,15.1,3.3,22.8,7.9,37.7,62.3
6067007012,3715,11,74397,2.45,0.59,44.5,18.2,0,3.6,0.2,12.2,21.3,42.4,57.6
6067007013,3001,8.5,82795,2.76,2.48,27.2,12.1,0.4,23.3,2.7,19.2,15.2,36.9,63.1
6067007016,5384,13.4,71875,3.01,4.97,39.3,11.6,1.4,37.8,0,3.9,6,17.1,82.9
6067007017,3519,8.8,104531,2.92,1.91,31.8,14.3,0.3,28.7,0.8,16.1,8,26.2,73.8
6067007019,2382,4.8,40938,3.51,0.88,20.1,35.6,0.3,22,0,10.5,11.5,21.9,78.1
6067007020,4700,9.1,132772,2.5,1.86,53.7,9.1,1.4,8.6,0.9,12.7,13.7,22.1,77.9
6067007021,4759,8.3,59819,2.67,5.77,41.2,19.1,0.1,11.9,0.8,24.5,2.4,50.7,49.3
6067007022,3240,6.3,44156,2.41,3.05,33.3,26.3,1.1,15.9,0,11.3,12.1,32.7,67.3
6067007023,4695,14.4,67754,2.51,5.25,41.9,14.6,0.1,10.1,0.8,17.1,15.5,39.8,60.2
6067007024,2041,8.3,69754,2.24,14.62,52.1,11.9,0,10.8,0,16.6,8.7,34.2,65.8
6067007025,2989,9.3,90625,2.32,0,50.5,11.2,0,26.9,0,0.3,11.1,22.6,77.4
6067007026,5285,17.2,117308,2.67,3.9,37.6,12,0.9,32.6,0,6,10.9,20.7,79.3
6067007027,2465,5.4,85726,2.49,0,25.1,17,0,49.3,0,1.9,6.8,4.1,95.9
6067007028,4283,10.9,103975,2.75,2.7,24.6,14.7,0,34.9,0,5.3,20.4,31.9,68.1
6067007101,326,5.8,165952,4.35,14.67,100,0,0,0,0,0,0,0,100
6067007103,4334,4.3,90367,2.26,2.98,31.1,15.7,0.5,25,0,18.1,9.5,26.4,73.6
6067007105,6852,10.9,91445,2.81,4.76,39.4,12.3,0,29.3,0.5,3.3,15.1,18.3,81.7
6067007106,7097,12,110085,2.85,0,39.8,8.6,1.1,27.2,2.8,6.9,13.5,22.9,77.1
6067007107,4127,11.4,127935,2.81,7.15,39.1,9.2,0.6,38.9,1.2,1.3,9.6,12.8,87.2
6067007108,5703,5.4,124583,3.31,0,28,22.3,0.7,33.8,0,7.7,7.6,17.2,82.8
6067007109,3484,56.8,78684,1.83,8.38,63.3,12.1,0.5,18.4,0,0.6,5.1,4.7,95.3
6067007110,5058,9.5,108596,3.21,3.23,39.5,20.8,1.1,22.6,0,1.9,14.2,16.4,83.6
6067007111,4408,8,144211,3.33,0,39.4,14,0.4,32.6,0,2.5,11.2,17.6,82.4
6067007202,4388,13.6,72849,3.11,0,72,2.7,0.2,11.6,0.8,8.4,4.3,18.4,81.6
6067007204,6084,9.2,75577,3.43,0,48.4,11.6,1.4,18.6,1.4,12.2,6.4,35.3,64.7
6067007206,4171,14.4,95392,3.04,3.93,86.1,1.1,1.7,3.3,0,3,4.8,18.7,81.3
6067007207,4812,9.8,82063,3.31,4.2,77.2,3.4,0.8,4.7,0.8,8,5.2,19.1,80.9
6067007208,4992,12.8,80600,3.36,4.51,73.1,0.9,0,10.6,0,8.4,7.1,24.4,75.6
6067007209,3922,17,85938,2.99,4.35,70.7,1.5,0.3,2.9,0,15.6,9.1,31.2,68.8
6067007301,5022,11.1,43154,2.73,4.51,61.4,13.1,0,5.3,0,7.4,12.9,33.9,66.1
6067007402,7628,15.9,62282,3.11,1.92,66.4,8.3,0.4,5.3,0.3,11,8.2,42.9,57.1
