tract_number,total_population,over_65,median_income,housing_density,percent_vacant_units,Percent_white,Percent_Black,Percent_Native,Percent_Asian,Percent_Hawaiian_and_Pacific_Islander,Percent_Other_Race,percent_two_races,percent_hispanic,percent_not_hispanic
6067009331,7660,9.5,126118,3.45,4.5,42,16.2,1.1,28.4,2.2,1.3,8.7,14.3,85.7
6067009332,1605,19.1,128875,3.46,11.85,48.5,0,0,40,0,0,11.5,4.4,95.6
6067009333,2736,10.7,118750,3.53,0,28.9,7.5,0,42.6,3.3,11.6,6.1,17.9,82.1
6067009334,5934,12.4,115464,3.63,0.73,25.5,13.7,0.2,40.3,3.4,4.7,12.3,14.5,85.5
6067009335,6229,6.4,108179,3.84,0,15.9,9.8,0,39.7,11.4,4.5,18.7,28.1,71.9
6067009336,4166,15.9,131932,3.03,2.91,60.8,1.8,0.5,16.1,1.4,4.2,15.3,17.3,82.7
6067009403,2044,24.1,102639,2.73,5.21,77.7,0.9,1.1,0,0,13.3,6.9,30.3,69.7
6067009404,6414,22.1,122135,2.79,5.95,66.1,1.1,1,7.8,0,11.2,12.8,32.7,67.3
6067009406,2381,19.4,109966,2.77,1.86,78.7,5.4,1.2,3.4,1.1,1.2,9,19.6,80.4
6067009408,1771,20.3,96250,2.77,6.1,73.3,1,0,7,0,6.5,12.1,26.1,73.9
6067009409,4217,10.4,114866,3.28,4.04,74.8,6.7,1.3,4,0,3.2,10,43.2,56.8
6067009410,6487,13,97097,2.99,1.7,60.9,2.1,0,8.8,0,18.9,9.3,45,55
6067009501,2690,19.6,61103,3.13,6.98,57.4,1.6,2.3,2.3,0,25.2,11.3,59.7,40.3
6067009502,7973,9.3,98438,3.14,5.16,69.9,0.7,0.4,3.5,0,12.6,13,36.6,63.4
6067009503,2748,22.2,45551,2.18,5.7,78.1,0,0,6.9,1.4,9.4,4.2,49.6,50.4
6067009504,3061,16.9,60169,3.31,4.22,54.5,1.8,0.8,1.6,0,21.1,20.3,51.1,48.9
6067009601,6555,12.4,58750,3.41,2.92,20.3,19.5,0.5,29.7,12.5,10.4,7.2,31.2,68.8
6067009608,9928,8.5,65524,3.02,4.38,18,21.8,0.3,40.4,3.7,9.2,6.6,16.7,83.3
6067009609,6080,7.9,66671,3.52,0,19.6,26.1,0.5,27.2,3.2,7.4,16.1,19.8,80.2
6067009610,7101,9.4,84293,3.84,6.28,20.6,16.5,0,23.9,5.8,19.6,13.7,30.1,69.9
6067009611,3969,11.4,81375,3.27,2.72,40.5,16.6,0.1,18.5,0,3.5,20.9,16.7,83.3
6067009612,5227,10.2,83487,2.79,1.76,31.3,20.5,1,29.2,0,4.2,13.9,27.7,72.3
6067009614,6436,6.2,100069,3,3.54,33,14.4,0,26.9,3.6,11.5,10.7,22.3,77.7
6067009616,6433,17.1,86667,2.51,2.7,55.2,7.6,0.5,9.7,0,9.1,17.8,27,73
6067009617,3959,22.7,136250,2.85,7.2,72.4,5.9,1.2,15.6,0,1.9,3.1,16,84
6067009618,4968,14.3,82052,3.18,1.67,30.2,16.1,0.4,30.4,0.4,11.1,11.5,33,67
6067009622,8265,13.8,119906,2.95,1.32,49.1,9.2,0.2,21.8,1.2,4,14.4,20,80
6067009632,6926,7.6,122785,3.43,3.07,33.6,10.8,0,37.7,2.3,5.7,9.9,17.6,82.4
6067009633,3808,8,61409,3.46,3.09,29.1,21.7,1.4,21.3,5.3,13.9,7.3,31.1,68.9
6067009634,5025,9.2,46164,3.06,2.44,13.4,30.9,0.3,22.1,4.9,13.1,15.4,28.4,71.6
6067009635,5993,8,130917,3.28,1.75,38.2,7.4,0,34.1,0.1,3.3,17,21.6,78.4
6067009637,6630,11.9,130526,4,1.93,23.4,13.7,1,42.4,2.1,6.4,11.1,13.7,86.3
6067009639,3475,16.8,75588,2.92,1.76,27.2,15.5,1.2,40.9,2.7,3.3,9.3,11.5,88.5
6067009640,5157,6.5,49856,3.51,7.22,23,38,0,11.7,1.6,1.4,24.3,19.5,80.5
6067009641,3636,20.7,50425,2.75,3.48,28.2,8.5,0.5,25.4,7.8,10.1,19.5,29.2,70.8
6067009642,1562,17,73231,2.36,4.53,17.5,1,0,49.7,7,14.1,10.8,32.8,67.2
6067009643,6720,10,103403,2.87,2.48,56.3,12.5,0.7,19.3,0.2,4.3,6.8,25.1,74.9
6067009644,3312,13.5,123770,2.28,0,45.4,11.5,0,24,0,5.3,13.8,20.8,79.2
6067009645,4339,9.1,110900,2.92,0,36.9,7.4,0,42.5,0,4.2,9,11.9,88.1
6067009646,4056,15.9,114583,3.8,2.25,31.2,14.5,0,34.4,0,14.8,5.1,26.4,73.6
6067009647,6035,13.1,83096,3.23,1.98,31.1,18.8,0.4,34.5,0,4.3,10.9,20.9,79.1
6067009648,3822,5,92672,3.66,0,21.1,8.2,0.3,32.6,5.4,7.6,24.7,23,77
6067009649,4984,9.3,121349,3.55,1.07,32.4,14,1.1,40.3,0,3.9,8.2,14.4,85.6
6067009650,2735,11,174464,3.34,0,22.9,4.6,0,53.5,4.2,1.9,13,6.2,93.8
6067009651,5516,27.3,88438,2.87,3.01,36.3,7.7,0,47.2,1.5,0.3,7.1,14.4,85.6
6067009652,2036,19.8,107054,2.69,7.78,16.3,17.9,0,50.6,0,0,15.2,9,91
6067009653,3364,5.9,111823,5.33,19.97,57.4,10.6,1.5,12.3,1.4,4.1,12.7,21.3,78.7
6067009800,1477,37.2,42857,1.35,29.42,86.1,2,0.3,2.2,0,2.6,6.8,18.1,81.9
6067009900,3747,18.1,63401,2.45,17.16,63.1,0.6,1.1,6.1,0,19.3,9.8,47.2,52.8
6067988300,5386,3,137250,138.1,0,20.6,42,2.1,2.4,0.9,19.2,12.8,34.4,65.6
